Epoch,Training Loss,Validation Loss
1,1.0,1.06
2,0.997979797979798,1.0583838383838384
3,0.9959595959595959,1.0567676767676768
4,0.9939393939393939,1.0551515151515152
5,0.9919191919191919,1.0535353535353535
6,0.98989898989899,1.051919191919192
7,0.9878787878787879,1.0503030303030303
8,0.9858585858585859,1.0486868686868687
9,0.9838383838383838,1.047070707070707
10,0.9818181818181818,1.0454545454545454
11,0.9797979797979798,1.0438383838383838
12,0.9777777777777777,1.0422222222222222
13,0.9757575757575757,1.0406060606060608
14,0.9737373737373738,1.0389898989898991
15,0.9717171717171718,1.0373737373737375
16,0.9696969696969697,1.0357575757575759
17,0.9676767676767677,1.0341414141414143
18,0.9656565656565657,1.0325252525252526
19,0.9636363636363636,1.030909090909091
20,0.9616161616161616,1.0292929292929294
21,0.9595959595959596,1.0276767676767677
22,0.9575757575757576,1.0260606060606061
23,0.9555555555555556,1.0244444444444445
24,0.9535353535353536,1.0228282828282829
25,0.9515151515151515,1.0212121212121212
26,0.9494949494949495,1.0195959595959596
27,0.9474747474747475,1.017979797979798
28,0.9454545454545454,1.0163636363636364
29,0.9434343434343434,1.0147474747474747
30,0.9414141414141415,1.013131313131313
31,0.9393939393939394,1.0115151515151515
32,0.9373737373737374,1.0098989898989899
33,0.9353535353535354,1.0082828282828282
34,0.9333333333333333,1.0066666666666668
35,0.9313131313131313,1.0050505050505052
36,0.9292929292929293,1.0034343434343436
37,0.9272727272727272,1.001818181818182
38,0.9252525252525252,1.0002020202020203
39,0.9232323232323233,0.9985858585858587
40,0.9212121212121213,0.9969696969696971
41,0.9191919191919192,0.9953535353535354
42,0.9171717171717172,0.9937373737373738
43,0.9151515151515152,0.9921212121212122
44,0.9131313131313131,0.9905050505050506
45,0.9111111111111111,0.9888888888888889
46,0.9090909090909092,0.9872727272727273
47,0.9070707070707071,0.9856565656565657
48,0.9050505050505051,0.984040404040404
49,0.9030303030303031,0.9824242424242424
50,0.901010101010101,0.9808080808080808
51,0.898989898989899,0.9791919191919193
52,0.896969696969697,0.9775757575757577
53,0.8949494949494949,0.975959595959596
54,0.8929292929292929,0.9743434343434344
55,0.8909090909090909,0.9727272727272728
56,0.888888888888889,0.9711111111111111
57,0.8868686868686869,0.9694949494949495
58,0.8848484848484849,0.9678787878787879
59,0.8828282828282829,0.9662626262626263
60,0.8808080808080808,0.9646464646464646
61,0.8787878787878788,0.9630303030303031
62,0.8767676767676768,0.9614141414141415
63,0.8747474747474748,0.9597979797979799
64,0.8727272727272728,0.9581818181818182
65,0.8707070707070708,0.9565656565656566
66,0.8686868686868687,0.954949494949495
67,0.8666666666666667,0.9533333333333334
68,0.8646464646464647,0.9517171717171717
69,0.8626262626262626,0.9501010101010101
70,0.8606060606060606,0.9484848484848485
71,0.8585858585858586,0.9468686868686869
72,0.8565656565656565,0.9452525252525252
73,0.8545454545454546,0.9436363636363637
74,0.8525252525252526,0.9420202020202021
75,0.8505050505050505,0.9404040404040405
76,0.8484848484848485,0.9387878787878788
77,0.8464646464646465,0.9371717171717172
78,0.8444444444444444,0.9355555555555556
79,0.8424242424242425,0.933939393939394
80,0.8404040404040405,0.9323232323232323
81,0.8383838383838385,0.9307070707070707
82,0.8363636363636364,0.9290909090909092
83,0.8343434343434344,0.9274747474747476
84,0.8323232323232324,0.9258585858585859
85,0.8303030303030303,0.9242424242424243
86,0.8282828282828283,0.9226262626262627
87,0.8262626262626263,0.9210101010101011
88,0.8242424242424242,0.9193939393939394
89,0.8222222222222223,0.9177777777777778
90,0.8202020202020203,0.9161616161616162
91,0.8181818181818182,0.9145454545454546
92,0.8161616161616162,0.9129292929292929
93,0.8141414141414142,0.9113131313131313
94,0.8121212121212121,0.9096969696969697
95,0.8101010101010102,0.9080808080808082
96,0.8080808080808082,0.9064646464646465
97,0.8060606060606061,0.9048484848484849
98,0.8040404040404041,0.9032323232323233
99,0.8020202020202021,0.9016161616161616
100,0.8,0.9
